,Cores Availability Factor,Nodes_Processable_by_Cores,Bubble Percentage,Nodes Across dia of Bubble,Number of Bubbles
0,0.25,2048.0,0.02,10.0,170734.0
1,0.25,2048.0,0.02,20.0,21342.0
2,0.25,2048.0,0.02,30.0,6323.0
3,0.25,2048.0,0.04,10.0,341469.0
4,0.25,2048.0,0.04,20.0,42684.0
5,0.25,2048.0,0.04,30.0,12647.0
6,0.25,2048.0,0.08,10.0,682938.0
7,0.25,2048.0,0.08,20.0,85367.0
8,0.25,2048.0,0.08,30.0,25294.0
9,0.25,4096.0,0.02,10.0,341469.0
10,0.25,4096.0,0.02,20.0,42684.0
11,0.25,4096.0,0.02,30.0,12647.0
12,0.25,4096.0,0.04,10.0,682938.0
13,0.25,4096.0,0.04,20.0,85367.0
14,0.25,4096.0,0.04,30.0,25294.0
15,0.25,4096.0,0.08,10.0,1365876.0
16,0.25,4096.0,0.08,20.0,170734.0
17,0.25,4096.0,0.08,30.0,50588.0
18,0.25,8192.0,0.02,10.0,682938.0
19,0.25,8192.0,0.02,20.0,85367.0
20,0.25,8192.0,0.02,30.0,25294.0
21,0.25,8192.0,0.04,10.0,1365876.0
22,0.25,8192.0,0.04,20.0,170734.0
23,0.25,8192.0,0.04,30.0,50588.0
24,0.25,8192.0,0.08,10.0,2731751.0
25,0.25,8192.0,0.08,20.0,341469.0
26,0.25,8192.0,0.08,30.0,101176.0
27,0.5,2048.0,0.02,10.0,341469.0
28,0.5,2048.0,0.02,20.0,42684.0
29,0.5,2048.0,0.02,30.0,12647.0
30,0.5,2048.0,0.04,10.0,682938.0
31,0.5,2048.0,0.04,20.0,85367.0
32,0.5,2048.0,0.04,30.0,25294.0
33,0.5,2048.0,0.08,10.0,1365876.0
34,0.5,2048.0,0.08,20.0,170734.0
35,0.5,2048.0,0.08,30.0,50588.0
36,0.5,4096.0,0.02,10.0,682938.0
37,0.5,4096.0,0.02,20.0,85367.0
38,0.5,4096.0,0.02,30.0,25294.0
39,0.5,4096.0,0.04,10.0,1365876.0
40,0.5,4096.0,0.04,20.0,170734.0
41,0.5,4096.0,0.04,30.0,50588.0
42,0.5,4096.0,0.08,10.0,2731751.0
43,0.5,4096.0,0.08,20.0,341469.0
44,0.5,4096.0,0.08,30.0,101176.0
45,0.5,8192.0,0.02,10.0,1365876.0
46,0.5,8192.0,0.02,20.0,170734.0
47,0.5,8192.0,0.02,30.0,50588.0
48,0.5,8192.0,0.04,10.0,2731751.0
49,0.5,8192.0,0.04,20.0,341469.0
50,0.5,8192.0,0.04,30.0,101176.0
51,0.5,8192.0,0.08,10.0,5463502.0
52,0.5,8192.0,0.08,20.0,682938.0
53,0.5,8192.0,0.08,30.0,202352.0
54,0.75,2048.0,0.02,10.0,512203.0
55,0.75,2048.0,0.02,20.0,64025.0
56,0.75,2048.0,0.02,30.0,18970.0
57,0.75,2048.0,0.04,10.0,1024407.0
58,0.75,2048.0,0.04,20.0,128051.0
59,0.75,2048.0,0.04,30.0,37941.0
60,0.75,2048.0,0.08,10.0,2048813.0
61,0.75,2048.0,0.08,20.0,256102.0
62,0.75,2048.0,0.08,30.0,75882.0
63,0.75,4096.0,0.02,10.0,1024407.0
64,0.75,4096.0,0.02,20.0,128051.0
65,0.75,4096.0,0.02,30.0,37941.0
66,0.75,4096.0,0.04,10.0,2048813.0
67,0.75,4096.0,0.04,20.0,256102.0
68,0.75,4096.0,0.04,30.0,75882.0
69,0.75,4096.0,0.08,10.0,4097627.0
70,0.75,4096.0,0.08,20.0,512203.0
71,0.75,4096.0,0.08,30.0,151764.0
72,0.75,8192.0,0.02,10.0,2048813.0
73,0.75,8192.0,0.02,20.0,256102.0
74,0.75,8192.0,0.02,30.0,75882.0
75,0.75,8192.0,0.04,10.0,4097627.0
76,0.75,8192.0,0.04,20.0,512203.0
77,0.75,8192.0,0.04,30.0,151764.0
78,0.75,8192.0,0.08,10.0,8195253.0
79,0.75,8192.0,0.08,20.0,1024407.0
80,0.75,8192.0,0.08,30.0,303528.0
81,1.0,2048.0,0.02,10.0,682938.0
82,1.0,2048.0,0.02,20.0,85367.0
83,1.0,2048.0,0.02,30.0,25294.0
84,1.0,2048.0,0.04,10.0,1365876.0
85,1.0,2048.0,0.04,20.0,170734.0
86,1.0,2048.0,0.04,30.0,50588.0
87,1.0,2048.0,0.08,10.0,2731751.0
88,1.0,2048.0,0.08,20.0,341469.0
89,1.0,2048.0,0.08,30.0,101176.0
90,1.0,4096.0,0.02,10.0,1365876.0
91,1.0,4096.0,0.02,20.0,170734.0
92,1.0,4096.0,0.02,30.0,50588.0
93,1.0,4096.0,0.04,10.0,2731751.0
94,1.0,4096.0,0.04,20.0,341469.0
95,1.0,4096.0,0.04,30.0,101176.0
96,1.0,4096.0,0.08,10.0,5463502.0
97,1.0,4096.0,0.08,20.0,682938.0
98,1.0,4096.0,0.08,30.0,202352.0
99,1.0,8192.0,0.02,10.0,2731751.0
100,1.0,8192.0,0.02,20.0,341469.0
101,1.0,8192.0,0.02,30.0,101176.0
102,1.0,8192.0,0.04,10.0,5463502.0
103,1.0,8192.0,0.04,20.0,682938.0
104,1.0,8192.0,0.04,30.0,202352.0
105,1.0,8192.0,0.08,10.0,10927005.0
106,1.0,8192.0,0.08,20.0,1365876.0
107,1.0,8192.0,0.08,30.0,404704.0
