,,,,,,,,,,,,,,,,
Sl.,Total Cores,Core's Availability Factor,Cores Available,Nodes Processable by Cores,sl. Nd,Total Processable Nodes,Bubble Percentage,sl. Vbt,Total Volume of Bubble,Nodes Across dia of Bubble,Number of Bubbles,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Nc,av,Na,no,,Nd,vf,,VbT,nd,nbb,,,,,
1,"8,730,112",0.25,"2,182,528","2,048",1,4.47E+09,0.02,1,8.94E+07,10,"170,734",,,,,
2,,,,,,,,,,20,"21,342",,,,,
3,,,,,,,,,,30,"6,323",,,,,
4,,,,,,,0.04,2,1.79E+08,10,"341,469",,,,,
5,,,,,,,,,,20,"42,684",,,,,
6,,,,,,,,,,30,"12,647",,,,,
7,,,,,,,0.08,3,3.58E+08,10,"682,938",,,,,
8,,,,,,,,,,20,"85,367",,,,,
9,,,,,,,,,,30,"25,294",,,,,
10,,,,"4,096",2,8.94E+09,0.02,4,1.79E+08,10,"341,469",,,,,
11,,,,,,,,,,20,"42,684",,,,,
12,,,,,,,,,,30,"12,647",,,,,
13,,,,,,,0.04,5,3.58E+08,10,"682,938",,,,,
14,,,,,,,,,,20,"85,367",,,,,
15,,,,,,,,,,30,"25,294",,,,,
16,,,,,,,0.08,6,7.15E+08,10,"1,365,876",,,,,
17,,,,,,,,,,20,"170,734",,,,,
18,,,,,,,,,,30,"50,588",,,,,
19,,,,"8,192",3,1.79E+10,0.02,7,3.58E+08,10,"682,938",,,,,
20,,,,,,,,,,20,"85,367",,,,,
21,,,,,,,,,,30,"25,294",,,,,
22,,,,,,,0.04,8,7.15E+08,10,"1,365,876",,,,,
23,,,,,,,,,,20,"170,734",,,,,
24,,,,,,,,,,30,"50,588",,,,,
25,,,,,,,0.08,9,1.43E+09,10,"2,731,751",,,,,
26,,,,,,,,,,20,"341,469",,,,,
27,,,,,,,,,,30,"101,176",,,,,
28,,,,This value is not influenced by av,4,3.39E+11,0.02,10,6.78E+09,10,"12,951,784",,,,,
29,,,,,,,,,,20,"1,618,973",,,,,
30,,,,,,,,,,30,"479,696",,,,,
31,,,,,,,0.04,11,1.36E+10,10,"25,903,569",,,,,
32,,,,,,,,,,20,"3,237,946",,,,,
33,,,,,,,,,,30,"959,391",,,,,
34,,,,,,,0.08,12,2.71E+10,10,"51,807,138",,,,,
35,,,,,,,,,,20,"6,475,892",,,,,
36,,,,,,,,,,30,"1,918,783",,,,,
37,,0.5,"4,365,056","2,048",5,8.94E+09,0.02,13,1.79E+08,10,"341,469",,,,,
38,,,,,,,,,,20,"42,684",,,,,
39,,,,,,,,,,30,"12,647",,,,,
40,,,,,,,0.04,14,3.58E+08,10,"682,938",,,,,
41,,,,,,,,,,20,"85,367",,,,,
42,,,,,,,,,,30,"25,294",,,,,
43,,,,,,,0.08,15,7.15E+08,10,"1,365,876",,,,,
44,,,,,,,,,,20,"170,734",,,,,
45,,,,,,,,,,30,"50,588",,,,,
46,,,,"4,096",6,1.79E+10,0.02,16,3.58E+08,10,"682,938",,,,,
47,,,,,,,,,,20,"85,367",,,,,
48,,,,,,,,,,30,"25,294",,,,,
