no,nd,vf,av,nbub
 2048,10, 2.000e-02, 2.500e-01,  170734
 2048,10, 2.000e-02, 5.000e-01,  341468
 2048,10, 2.000e-02, 7.500e-01,  512203
 2048,10, 2.000e-02, 1.000e+00,  682937
 2048,10, 4.000e-02, 2.500e-01,  341468
 2048,10, 4.000e-02, 5.000e-01,  682937
 2048,10, 4.000e-02, 7.500e-01, 1024406
 2048,10, 4.000e-02, 1.000e+00, 1365875
 2048,10, 8.000e-02, 2.500e-01,  682937
 2048,10, 8.000e-02, 5.000e-01, 1365875
 2048,10, 8.000e-02, 7.500e-01, 2048813
 2048,10, 8.000e-02, 1.000e+00, 2731751
 2048,20, 2.000e-02, 2.500e-01,   21341
 2048,20, 2.000e-02, 5.000e-01,   42683
 2048,20, 2.000e-02, 7.500e-01,   64025
 2048,20, 2.000e-02, 1.000e+00,   85367
 2048,20, 4.000e-02, 2.500e-01,   42683
 2048,20, 4.000e-02, 5.000e-01,   85367
 2048,20, 4.000e-02, 7.500e-01,  128050
 2048,20, 4.000e-02, 1.000e+00,  170734
 2048,20, 8.000e-02, 2.500e-01,   85367
 2048,20, 8.000e-02, 5.000e-01,  170734
 2048,20, 8.000e-02, 7.500e-01,  256101
 2048,20, 8.000e-02, 1.000e+00,  341468
 2048,30, 2.000e-02, 2.500e-01,    6323
 2048,30, 2.000e-02, 5.000e-01,   12646
 2048,30, 2.000e-02, 7.500e-01,   18970
 2048,30, 2.000e-02, 1.000e+00,   25293
 2048,30, 4.000e-02, 2.500e-01,   12646
 2048,30, 4.000e-02, 5.000e-01,   25293
 2048,30, 4.000e-02, 7.500e-01,   37940
 2048,30, 4.000e-02, 1.000e+00,   50587
 2048,30, 8.000e-02, 2.500e-01,   25293
 2048,30, 8.000e-02, 5.000e-01,   50587
 2048,30, 8.000e-02, 7.500e-01,   75881
 2048,30, 8.000e-02, 1.000e+00,  101175
 4096,10, 2.000e-02, 2.500e-01,  341468
 4096,10, 2.000e-02, 5.000e-01,  682937
 4096,10, 2.000e-02, 7.500e-01, 1024406
 4096,10, 2.000e-02, 1.000e+00, 1365875
 4096,10, 4.000e-02, 2.500e-01,  682937
 4096,10, 4.000e-02, 5.000e-01, 1365875
 4096,10, 4.000e-02, 7.500e-01, 2048813
 4096,10, 4.000e-02, 1.000e+00, 2731751
 4096,10, 8.000e-02, 2.500e-01, 1365875
 4096,10, 8.000e-02, 5.000e-01, 2731751
 4096,10, 8.000e-02, 7.500e-01, 4097626
 4096,10, 8.000e-02, 1.000e+00, 5463502
 4096,20, 2.000e-02, 2.500e-01,   42683
 4096,20, 2.000e-02, 5.000e-01,   85367
 4096,20, 2.000e-02, 7.500e-01,  128050
 4096,20, 2.000e-02, 1.000e+00,  170734
 4096,20, 4.000e-02, 2.500e-01,   85367
 4096,20, 4.000e-02, 5.000e-01,  170734
 4096,20, 4.000e-02, 7.500e-01,  256101
 4096,20, 4.000e-02, 1.000e+00,  341468
 4096,20, 8.000e-02, 2.500e-01,  170734
 4096,20, 8.000e-02, 5.000e-01,  341468
 4096,20, 8.000e-02, 7.500e-01,  512203
 4096,20, 8.000e-02, 1.000e+00,  682937
 4096,30, 2.000e-02, 2.500e-01,   12646
 4096,30, 2.000e-02, 5.000e-01,   25293
 4096,30, 2.000e-02, 7.500e-01,   37940
 4096,30, 2.000e-02, 1.000e+00,   50587
 4096,30, 4.000e-02, 2.500e-01,   25293
 4096,30, 4.000e-02, 5.000e-01,   50587
 4096,30, 4.000e-02, 7.500e-01,   75881
 4096,30, 4.000e-02, 1.000e+00,  101175
 4096,30, 8.000e-02, 2.500e-01,   50587
 4096,30, 8.000e-02, 5.000e-01,  101175
 4096,30, 8.000e-02, 7.500e-01,  151763
 4096,30, 8.000e-02, 1.000e+00,  202351
 8192,10, 2.000e-02, 2.500e-01,  682937
 8192,10, 2.000e-02, 5.000e-01, 1365875
 8192,10, 2.000e-02, 7.500e-01, 2048813
 8192,10, 2.000e-02, 1.000e+00, 2731751
 8192,10, 4.000e-02, 2.500e-01, 1365875
 8192,10, 4.000e-02, 5.000e-01, 2731751
 8192,10, 4.000e-02, 7.500e-01, 4097626
 8192,10, 4.000e-02, 1.000e+00, 5463502
 8192,10, 8.000e-02, 2.500e-01, 2731751
 8192,10, 8.000e-02, 5.000e-01, 5463502
 8192,10, 8.000e-02, 7.500e-01, 8195253
 8192,10, 8.000e-02, 1.000e+00,10927004
 8192,20, 2.000e-02, 2.500e-01,   85367
 8192,20, 2.000e-02, 5.000e-01,  170734
 8192,20, 2.000e-02, 7.500e-01,  256101
 8192,20, 2.000e-02, 1.000e+00,  341468
 8192,20, 4.000e-02, 2.500e-01,  170734
 8192,20, 4.000e-02, 5.000e-01,  341468
 8192,20, 4.000e-02, 7.500e-01,  512203
 8192,20, 4.000e-02, 1.000e+00,  682937
 8192,20, 8.000e-02, 2.500e-01,  341468
 8192,20, 8.000e-02, 5.000e-01,  682937
 8192,20, 8.000e-02, 7.500e-01, 1024406
 8192,20, 8.000e-02, 1.000e+00, 1365875
 8192,30, 2.000e-02, 2.500e-01,   25293
 8192,30, 2.000e-02, 5.000e-01,   50587
 8192,30, 2.000e-02, 7.500e-01,   75881
 8192,30, 2.000e-02, 1.000e+00,  101175
 8192,30, 4.000e-02, 2.500e-01,   50587
 8192,30, 4.000e-02, 5.000e-01,  101175
 8192,30, 4.000e-02, 7.500e-01,  151763
 8192,30, 4.000e-02, 1.000e+00,  202351
 8192,30, 8.000e-02, 2.500e-01,  101175
 8192,30, 8.000e-02, 5.000e-01,  202351
 8192,30, 8.000e-02, 7.500e-01,  303527
 8192,30, 8.000e-02, 1.000e+00,  404703
38839,10, 2.000e-02, 2.500e-01, 3237868
38839,10, 2.000e-02, 5.000e-01, 6475737
38839,10, 2.000e-02, 7.500e-01, 9713606
38839,10, 2.000e-02, 1.000e+00,12951474
38839,10, 4.000e-02, 2.500e-01, 6475737
38839,10, 4.000e-02, 5.000e-01,12951474
38839,10, 4.000e-02, 7.500e-01,19427212
38839,10, 4.000e-02, 1.000e+00,25902949
38839,10, 8.000e-02, 2.500e-01,12951474
38839,10, 8.000e-02, 5.000e-01,25902949
38839,10, 8.000e-02, 7.500e-01,38854424
38839,10, 8.000e-02, 1.000e+00,51805899
38839,20, 2.000e-02, 2.500e-01,  404733
38839,20, 2.000e-02, 5.000e-01,  809467
38839,20, 2.000e-02, 7.500e-01, 1214200
38839,20, 2.000e-02, 1.000e+00, 1618934
38839,20, 4.000e-02, 2.500e-01,  809467
38839,20, 4.000e-02, 5.000e-01, 1618934
38839,20, 4.000e-02, 7.500e-01, 2428401
38839,20, 4.000e-02, 1.000e+00, 3237868
38839,20, 8.000e-02, 2.500e-01, 1618934
38839,20, 8.000e-02, 5.000e-01, 3237868
38839,20, 8.000e-02, 7.500e-01, 4856803
38839,20, 8.000e-02, 1.000e+00, 6475737
38839,30, 2.000e-02, 2.500e-01,  119921
38839,30, 2.000e-02, 5.000e-01,  239842
38839,30, 2.000e-02, 7.500e-01,  359763
38839,30, 2.000e-02, 1.000e+00,  479684
38839,30, 4.000e-02, 2.500e-01,  239842
38839,30, 4.000e-02, 5.000e-01,  479684
38839,30, 4.000e-02, 7.500e-01,  719526
38839,30, 4.000e-02, 1.000e+00,  959368
38839,30, 8.000e-02, 2.500e-01,  479684
38839,30, 8.000e-02, 5.000e-01,  959368
38839,30, 8.000e-02, 7.500e-01, 1439052
